"speaker","emotion","ceiling","floor","corpus","key"
"DF","ANG",486,60,"PELL","DF_ANG"
"DF","DIS",314,60,"PELL","DF_DIS"
"DF","FER",351,60,"PELL","DF_FER"
"DF","HAP",223,60,"PELL","DF_HAP"
"DF","NEU",168,60,"PELL","DF_NEU"
"DF","SAD",287,60,"PELL","DF_SAD"
"DF","SUR",682,60,"PELL","DF_SUR"
"MG","ANG",287,60,"PELL","MG_ANG"
"MG","DIS",287,60,"PELL","MG_DIS"
"MG","FER",324,60,"PELL","MG_FER"
"MG","HAP",276,60,"PELL","MG_HAP"
"MG","NEU",166,60,"PELL","MG_NEU"
"MG","SAD",227,60,"PELL","MG_SAD"
"MG","SUR",686,60,"PELL","MG_SUR"
"NA","ANG",429,100,"PELL","NA_ANG"
"NA","DIS",393,100,"PELL","NA_DIS"
"NA","FER",456,100,"PELL","NA_FER"
"NA","HAP",475,100,"PELL","NA_HAP"
"NA","NEU",325,100,"PELL","NA_NEU"
"NA","SAD",441,100,"PELL","NA_SAD"
"NA","SUR",794,100,"PELL","NA_SUR"
"SL","ANG",346,100,"PELL","SL_ANG"
"SL","DIS",366,100,"PELL","SL_DIS"
"SL","FER",441,100,"PELL","SL_FER"
"SL","HAP",353,100,"PELL","SL_HAP"
"SL","NEU",320,100,"PELL","SL_NEU"
"SL","SAD",425,100,"PELL","SL_SAD"
"SL","SUR",626,100,"PELL","SL_SUR"
"AA","ANG",380,60,"CREMA-D","AA_ANG"
"AA","DIS",370,60,"CREMA-D","AA_DIS"
"AA","FER",351,60,"CREMA-D","AA_FER"
"AA","HAP",420,60,"CREMA-D","AA_HAP"
"AA","NEU",313,60,"CREMA-D","AA_NEU"
"AA","SAD",283,60,"CREMA-D","AA_SAD"
"AB","ANG",646,60,"CREMA-D","AB_ANG"
"AB","DIS",668,60,"CREMA-D","AB_DIS"
"AB","FER",531,60,"CREMA-D","AB_FER"
"AB","HAP",629,60,"CREMA-D","AB_HAP"
"AB","NEU",463,60,"CREMA-D","AB_NEU"
"AB","SAD",416,60,"CREMA-D","AB_SAD"
"AC","ANG",609,60,"CREMA-D","AC_ANG"
"AC","DIS",357,60,"CREMA-D","AC_DIS"
"AC","FER",468,60,"CREMA-D","AC_FER"
"AC","HAP",427,60,"CREMA-D","AC_HAP"
"AC","NEU",407,60,"CREMA-D","AC_NEU"
"AC","SAD",402,60,"CREMA-D","AC_SAD"
"AD","ANG",562,60,"CREMA-D","AD_ANG"
"AD","DIS",397,60,"CREMA-D","AD_DIS"
"AD","FER",430,60,"CREMA-D","AD_FER"
"AD","HAP",512,60,"CREMA-D","AD_HAP"
"AD","NEU",353,60,"CREMA-D","AD_NEU"
"AD","SAD",428,60,"CREMA-D","AD_SAD"
"AE","ANG",444,60,"CREMA-D","AE_ANG"
"AE","DIS",374,60,"CREMA-D","AE_DIS"
"AE","FER",366,60,"CREMA-D","AE_FER"
"AE","HAP",372,60,"CREMA-D","AE_HAP"
"AE","NEU",270,60,"CREMA-D","AE_NEU"
"AE","SAD",247,60,"CREMA-D","AE_SAD"
"AF","ANG",591,60,"CREMA-D","AF_ANG"
"AF","DIS",397,60,"CREMA-D","AF_DIS"
"AF","FER",407,60,"CREMA-D","AF_FER"
"AF","HAP",581,60,"CREMA-D","AF_HAP"
"AF","NEU",357,60,"CREMA-D","AF_NEU"
"AF","SAD",424,60,"CREMA-D","AF_SAD"
"AG","ANG",510,60,"CREMA-D","AG_ANG"
"AG","DIS",369,60,"CREMA-D","AG_DIS"
"AG","FER",388,60,"CREMA-D","AG_FER"
"AG","HAP",413,60,"CREMA-D","AG_HAP"
